run_kind,step_index,detected_mask,shared_found,accepted_candidate_count,fused_candidate_count,fused_candidates,new_found_candidate_count,found_update_trace,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,call_index,mainline_step,mainline_usv_id,mainline_step_detect_call_index,robot_pos,sensor_range_cells,found_mask_before_detect,detected_mask_returned_to_mainline,detection_source,trace_type,update_call_index,source_policy_step,source_shared_found,source_accepted_candidate_count,source_fused_candidate_count,found_mask_before,found_mask_after,find_times_before,find_times_after,new_found_indices,all_found_after_update,update_found_mask_original_called
coexist,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,1,0,0,0,"[25, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
coexist,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,2,0,1,1,"[35, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
coexist,1,[true],True,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",1,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [true], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.95683649329315, -8.468243792324, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,3,1,0,0,"[24, 2]",5,[false],[true],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
coexist,1,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.95683649329315, -8.468243792324, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,4,1,1,1,"[36, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
coexist,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,,,,,,,,,,adapter_output,,,,,,,,,,,,
coexist,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,,,,,,,,,,adapter_output,,,,,,,,,,,,
coexist,1,[true],True,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",1,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [true], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.95683649329315, -8.468243792324, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,,,,,,,,,,adapter_output,,,,,,,,,,,,
coexist,1,[false],False,1,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_coexist"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_coexist"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 3, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 1, ""source_accepted_event_count"": 1, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [33.95683649329315, -8.468243792324, 0.0], ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 1, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,,,,,,,,,,adapter_output,,,,,,,,,,,,
coexist,,[false],False,,,,,,False,False,False,False,,0,,,,,,,,mainline_update,1,0,False,0,0,[false],[false],[null],[null],[],False,True
coexist,,[true],True,,,,,,False,False,False,False,,1,,,,,,,,mainline_update,2,1,True,1,1,[false],[true],[null],[1],[0],True,True
teammate_only,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,1,0,0,0,"[25, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,0,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 0, ""source_policy_step"": 0, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,2,0,1,1,"[35, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,1,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,3,1,0,0,"[24, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,1,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 1, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,4,1,1,1,"[36, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,2,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 2, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,5,2,0,0,"[23, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,2,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 2, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,6,2,1,1,"[37, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,3,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 3, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,7,3,0,0,"[22, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
teammate_only,3,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""mainline_teammate_only"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""phase5d3_sensor_event_candidate_fusion"", ""episode_id"": ""mainline_teammate_only"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 24, ""source_policy_step"": 3, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,8,3,1,1,"[38, 2]",5,[false],[false],reusable_mainline_perception_adapter,adapter_detect,,,,,,,,,,,,
