mode,clue,n,success_all_found_mean,success_all_found_std,found_count_mean,found_count_std,detection_rate_mean,detection_rate_std,time_to_first_detection_mean,time_to_first_detection_std,time_to_first_detection_valid_n,time_to_all_found_mean,time_to_all_found_std,time_to_all_found_valid_n,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,replan_count_mean,replan_count_std,switch_count_mean,switch_count_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std,search_info_gain_mean_mean,search_info_gain_mean_std,recency_bias_mean_mean,recency_bias_mean_std,candidate_pool_size_mean_mean,candidate_pool_size_mean_std,selected_viewpoint_rank_mean_mean,selected_viewpoint_rank_mean_std,alpha_focus_curve_mean_mean,alpha_focus_curve_mean_std,kappa_commit_curve_mean_mean,kappa_commit_curve_mean_std
adaptive,ALL,60,0.016666666666666666,0.12801909579781012,1.0166666666666666,0.7635807459303539,0.33888888888888885,0.25452691531011795,70.5,56.021708454685836,44,229.0,0.0,1,0.3743128546868207,0.07355001725971991,46.379675969165355,6.540631122623337,239.81666666666666,1.4082100537759115,37.96666666666667,1.5051762539834181,26.916666666666668,3.6846151615723572,0.008082441992444723,0.013901263255058529,0.008082441992444723,0.013901263255058529,9.9236820718098,5.317302780740731,0.0,0.0,44.48801254216523,6.801700275080427,2.435650765606382,0.45513284693127865,22.856998376146326,0.5554645498340628,3.0042233773363427,0.3702596606822345,0.2938297475045398,0.026586743090497498,0.4385971019082921,0.05002427016279164
adaptive,ucb,30,0.03333333333333333,0.17950549357115014,0.9333333333333333,0.8137703743822469,0.31111111111111106,0.27125679146074894,60.4,41.43235450707575,20,229.0,0.0,1,0.36982750291197963,0.07667331172255216,47.87529703829941,7.909596466751357,239.63333333333333,1.9745604292826515,38.06666666666667,1.6719914938645937,26.866666666666667,3.9305074594623135,0.007729864143619603,0.013233505888492056,0.007729864143619603,0.013233505888492056,9.799030810286268,5.33084607350528,0.0,0.0,43.95689679617962,7.13756663586621,2.4705447916053505,0.4124173140363763,22.89913301348154,0.5242632253832394,2.99087542539083,0.3904698387359471,0.28919430376447053,0.025277618451686204,0.4436545793168964,0.04814934898962018
adaptive,anomaly_upper_tail,30,0.0,0.0,1.1,0.7,0.36666666666666664,0.2333333333333333,78.91666666666667,64.55547786378955,24,,,0,0.37879820646166174,0.07000126131876766,44.884054900031316,4.3039783843250365,240.0,0.0,37.86666666666667,1.3097921802925667,26.966666666666665,3.420363853289426,0.008435019841269842,0.014529829310530894,0.008435019841269842,0.014529829310530894,10.048333333333334,5.300794467883162,0.0,0.0,45.01912828815083,6.404469370007178,2.4007567396074143,0.4916996946244008,22.814863738811106,0.5819614655874893,3.017571329281856,0.34836963422820144,0.298465191244609,0.027051379713362342,0.4335396244996878,0.05133555538843041
no_alpha,ALL,60,0.05,0.21794494717703367,1.1833333333333333,0.8658650138573692,0.39444444444444443,0.28862167128578975,72.55555555555556,57.839838464333965,45,226.0,11.430952132988164,3,0.37461396011331277,0.06744808250481524,46.16102180777339,6.083249120844823,239.3,3.980368492154129,38.06666666666667,1.5477582354991866,27.1,3.310085598087558,0.009652518332220182,0.016713702390636884,0.009652518332220182,0.016713702390636884,9.520555613532217,5.150212599008797,0.0,0.0,44.73176214670511,7.133192347090927,2.422893737385347,0.4017830750370647,22.862091311495288,0.45632036908405404,3.0980194054645125,0.2975153048736598,0.0,0.0,0.4379286195459731,0.041059297186596594
no_alpha,ucb,30,0.03333333333333333,0.17950549357115014,1.0333333333333334,0.8749603165604458,0.3444444444444444,0.29165343885348194,70.85,57.02567404248721,20,226.0,0.0,1,0.36888248143316854,0.06540776275719777,48.20422446717764,6.559627939516823,239.53333333333333,2.513076909996102,38.233333333333334,1.5849991237291654,26.533333333333335,3.584534682338684,0.01090815511307768,0.018259421618568892,0.01090815511307768,0.018259421618568892,9.630196656833824,5.308382564555899,0.0,0.0,43.98094804681852,6.924102862216778,2.449928133460449,0.4141738244852507,22.880509724843993,0.42318363498885797,3.114527472575581,0.2827491268214608,0.0,0.0,0.45172124589395884,0.04050605438771867
no_alpha,anomaly_upper_tail,30,0.06666666666666667,0.24944382578492943,1.3333333333333333,0.8299933065325822,0.4444444444444444,0.27666443551086073,73.92,58.447186416456354,25,226.0,14.0,2,0.38034543879345706,0.06895369854133253,44.117819148369136,4.7574958552620625,239.06666666666666,5.026153819992204,37.9,1.4910846164230027,27.666666666666668,2.9021065146238554,0.008396881551362683,0.014904226578726485,0.008396881551362683,0.014904226578726485,9.410914570230608,4.984617524097942,0.0,0.0,45.4825762465917,7.259078595073726,2.395859341310246,0.38711445948381845,22.843672898146583,0.4865117610696211,3.081511338353444,0.3107066333220902,0.0,0.0,0.42413599319798745,0.0367493978957941
no_kappa,ALL,60,0.11666666666666667,0.3210226714043037,1.2833333333333334,0.9502923526765621,0.42777777777777776,0.31676411755885403,59.369565217391305,47.099043974259445,46,187.14285714285714,38.49092127253079,7,0.37831780798611947,0.08333087514117102,45.71304346181061,5.608292726847419,233.83333333333334,21.46560556383682,48.13333333333333,4.606034688922301,37.333333333333336,4.9385107966763515,0.006391994168369775,0.012293868021574285,0.006391994168369775,0.012293868021574285,9.803201703105056,5.110481099919015,0.0,0.0,47.40657657773942,8.804746619246108,2.356678585799288,0.5677110285167077,22.725696398172644,0.4989557814705728,2.7921788752979833,0.30727747171423375,0.28215587274477283,0.04153804475286159,0.0,0.0
no_kappa,ucb,30,0.13333333333333333,0.339934634239519,1.2333333333333334,1.0225241100118645,0.4111111111111111,0.3408413700039548,53.714285714285715,38.50311410676242,21,171.0,42.96510211788167,4,0.36901739890586105,0.08742961110908475,46.88475184408421,5.8372082670611585,230.8,28.218669942669752,47.63333333333333,5.9356736957334695,36.7,5.814636704042653,0.009288698900722127,0.016770023152851657,0.009288698900722127,0.016770023152851657,9.772952053972483,5.127368860315741,0.0,0.0,46.95404203771557,9.519937234163972,2.318360632411454,0.6402478005026272,22.664161563615345,0.4561773993303131,2.727447044940743,0.33117061376832846,0.27678220467315745,0.045676158848045656,0.0,0.0
no_kappa,anomaly_upper_tail,30,0.1,0.3,1.3333333333333333,0.8692269873603532,0.4444444444444444,0.2897423291201177,64.12,52.791908470901106,25,208.66666666666666,13.59738536958076,3,0.3876182170663778,0.07791750372529122,44.54133507953701,5.107552564662626,236.86666666666667,10.336773620859116,48.63333333333333,2.5882211823738883,37.96666666666667,3.763715658170202,0.003495289436017424,0.002064681259596251,0.003495289436017424,0.002064681259596251,9.83345135223763,5.093357697332684,0.0,0.0,47.85911111776327,8.000521613994977,2.3949965391871215,0.48139157309500125,22.78723123272994,0.5312653313910708,2.856910705655223,0.26605355494654637,0.2875295408163882,0.03614905558353866,0.0,0.0
no_alpha_kappa,ALL,60,0.1,0.3,1.2,0.8717797887081347,0.4,0.2905932629027116,69.45833333333333,62.47264679219396,48,221.16666666666666,16.77713390964685,6,0.36732860942966794,0.07028884628347117,44.75418562509347,5.238050817697713,238.11666666666667,7.750465935814583,48.983333333333334,1.9620709014258946,37.5,3.4520525295346633,0.0062164192833895305,0.011603350645423177,0.0062164192833895305,0.011603350645423177,9.79148743561308,5.0164405579436115,0.0,0.0,45.080998742375435,6.983918603779813,2.606977773853897,0.3769630795605611,22.68931026669501,0.5094066425872763,2.825833739871002,0.309877834612926,0.0,0.0,0.0,0.0
no_alpha_kappa,ucb,30,0.03333333333333333,0.17950549357115014,1.0333333333333334,0.7951240294584375,0.3444444444444444,0.2650413431528125,62.68181818181818,57.615012535115255,22,195.0,0.0,1,0.3591293384459086,0.06908067181756407,46.179327160924394,5.166207704262316,238.5,8.077747210701755,49.2,1.9390719429665315,37.03333333333333,3.351450763806955,0.008619569088319089,0.01580178961030251,0.008619569088319089,0.01580178961030251,10.086260683760683,5.3773768041094385,0.0,0.0,43.92978780116319,6.789103505432008,2.6198466570377517,0.4536683686818541,22.570574363078563,0.46290063013599464,2.792117044253599,0.2643670041672388,0.0,0.0,0.0,0.0
no_alpha_kappa,anomaly_upper_tail,30,0.16666666666666666,0.37267799624996495,1.3666666666666667,0.9122621455602672,0.45555555555555555,0.30408738185342243,75.1923076923077,65.76240405415733,26,226.4,13.169662106523463,5,0.37552788041342733,0.07052977042091269,43.32904408926255,4.911475735426881,237.73333333333332,7.388880534665286,48.766666666666666,1.961008810677697,37.96666666666667,3.4879156462786707,0.003813269478459972,0.002833492463931141,0.003813269478459972,0.002833492463931141,9.496714187465477,4.608621042539949,0.0,0.0,46.23220968358768,6.986253535239097,2.5941088906700425,0.27938525668386605,22.808046170311453,0.5258486778803898,2.8595504354884054,0.34624413460695297,0.0,0.0,0.0,0.0
