run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,any_camera_rgb_present,rangefinder_present,any_rangefinder_hit,any_channel_rangefinder_hit,rangefinder_hit_channels,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,1,1,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99993896484375,0.15778717398643494,25,2,False,False,10.00006103515625,0.13008423760418752,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,90.0,99.99987411499023
calibration,1,1,1,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.000064849853516,0.1518186330795288,35,2,False,False,10.000064849853516,359.8699157623958,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-90.0,99.99987411499023
calibration,1,2,2,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.9998016357422,0.1793673038482666,25,2,False,False,10.000198364257812,0.38700008040614253,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.8699157623958,99.9996109008789
calibration,1,2,2,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00019073486328,0.17299622297286987,35,2,False,False,10.000190734863281,359.61299991959385,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.8699157623958,99.9996109008789
calibration,1,3,3,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99961853027344,0.19810201227664948,25,2,False,False,10.000381469726562,0.767575842422137,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.61299991959385,99.99923706054688
calibration,1,3,3,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00038146972656,0.1922505497932434,35,2,False,False,10.000381469726562,359.2324242109339,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.61299991959385,99.99923706054688
calibration,1,4,4,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99935913085938,0.21168926358222961,25,2,False,False,10.000640869187189,1.2687185765496753,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.23242415757784,99.99872589111328
calibration,1,4,4,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.000633239746094,0.20712846517562866,35,2,False,False,10.000633239792657,358.7312816368414,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.23242421093391,99.99872589111328
calibration,1,5,5,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99905395507812,0.21888010203838348,25,2,False,False,10.000946044968435,1.8874122470837145,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.00017484163769,88.73145626508801,99.99810791015625
calibration,1,5,5,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.000946044921875,0.2163039892911911,35,2,False,False,10.000946044968435,358.1125881795715,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,269.99982515822893,-88.73145647861247,99.99810791015625
