anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=3 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=4 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=5 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=6 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=7 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=8 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=open_water | seed=9 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=0 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=1 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=2 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=3 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=4 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=5 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=6 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=7 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=8 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=harbor_cove | seed=9 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=0 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=1 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=2 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=3 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=4 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=5 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=6 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=7 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=8 | max_iters=240
anomaly lambda sweep | system=single | motion=static | lambda=1.25 | map=peninsula_passage | seed=9 | max_iters=240
lambda_sweep_output_dir=F:\pythonprojects\baseline_GP\results\paper_parallel_run_20260501_190059\anomaly_lambda_sweep\single_usv_static
